reviewerID,itemID,rating,time
A1KLRMWW2FWPL4,0000031887,5.0,1297468800
A2G5TCU2WDFZ65,0000031887,5.0,1358553600
A1RLQXYNCMWRWN,0000031887,5.0,1357257600
A8U3FAMSJVHS5,0000031887,5.0,1398556800
A3GEOILWLK86XM,0000031887,5.0,1394841600
A27UF1MSF3DB2,0000031887,4.0,1396224000
A16GFPNVF4Y816,0000031887,5.0,1399075200
A2M2APVYIB2U6K,0000031887,5.0,1356220800
A1NJ71X3YPQNQ9,0000031887,4.0,1384041600
A3EERSWHAI6SO,0000031887,5.0,1349568000
AX1QE6IR7CHXM,0000031887,5.0,1388620800
A2A2WZYLU528RO,0000031887,5.0,1391040000
A391EXIT5TFP72,0000031887,5.0,1321056000
A34ATJR9KFIXL9,0000031887,5.0,1361664000
AJ6B83I4YJHYW,0000031887,5.0,1372636800
A26A4KKLAVTMCC,0000031887,3.0,1395273600
A1MXJVYXE2QU6H,0000031887,5.0,1367020800
A2XJ13PIXVJFJH,0000031887,1.0,1399852800
A287XY94U7JDM8,0000031887,5.0,1387843200
A1JR9KKF6UKUWW,0000031887,5.0,1359504000
A2SX7X8QGQVCJU,0000031887,5.0,1351036800
A2Q6UWR5PBHTJS,0000031887,5.0,1358553600
AJZPHJR944IBB,0000031887,4.0,1365552000
A2WNN1DQVL4LH5,0123456479,5.0,1383782400
A1ZPOCG2ST2CY3,0123456479,5.0,1390089600
A1WDJIFL2F4QJA,0123456479,5.0,1348444800
A3RB1JA72Z0TUN,0123456479,3.0,1387411200
A1JC50F14SLAEV,0123456479,3.0,1399852800
A8WD29DKN8ZC3,0123456479,4.0,1388102400
A1F7YU6O5RU432,1608299953,5.0,1365465600
A3INPLAFCMRI3I,1608299953,4.0,1322956800
A3NHUQ33CFH3VM,1608299953,4.0,1285027200
A253TILLU81VZK,1608299953,5.0,1308182400
A28QH3KX709FFQ,1608299953,1.0,1348185600
A1R377IPZOKLMM,1608299953,5.0,1284768000
A3U6J0DLLDEWM2,1608299953,5.0,1287446400
A1ZU55TM45Y2R8,1608299953,4.0,1282694400
A1NIGUK4M2ST8,1608299953,4.0,1305676800
AQY5XBYSENNZQ,1608299953,4.0,1305763200
A1GNYV0RA0EQSS,1608299953,5.0,1284163200
A1ZPOCG2ST2CY3,0123456479,5.0,1390089600
A1WDJIFL2F4QJA,0123456479,5.0,1348444800
A3RB1JA72Z0TUN,0123456479,3.0,1387411200
A1JC50F14SLAEV,0123456479,3.0,1399852800
A216NSW58Q3SCJ,1617160377,5.0,1368403200
A25C2M3QF9G7OQ,1617160377,5.0,1299888000
A2BN9DIBP9A0XG,1617160377,5.0,1329696000
AY3D7DG5L5WCK,1617160377,5.0,1365120000
AOEDWQLH2WKKW,1617160377,5.0,1298505600
AN81JUYW2SL24,1617160377,4.0,1299196800
A20FK68BUB1IVA,1617160377,5.0,1318464000
AZAC8O310IK4E,1617160377,5.0,1299024000
A3U6J0DLLDEWM2,1617160377,4.0,1299715200
A2JCJJNY43QQIV,1617160377,4.0,1337126400
A2VH0UT5EQFB6P,1617160377,4.0,1303171200
A18S2VGUH9SCV5,1617160377,4.0,1298419200
A379DLIAF0MFM5,1617160377,5.0,1365120000
A3MHGA6BJJ7P27,1617160377,5.0,1309305600
A1059SSXUZZS1S,B00001W0KA,4.0,1383696000
A2VNCKMXMHN9E8,B00001W0KA,5.0,1383091200
A23GX78LIV4J2F,B00001W0KA,5.0,1320537600
A7EHAXLU64UAE,B00001W0KA,5.0,1383350400
A2VHNDYD9B8PGO,B00001W0KA,4.0,1353456000
A1FVO9ZB49ZCXA,B00001W0KA,4.0,1258502400
A37IOOK9CVRBND,B00001W0KA,5.0,1357430400
A11Z8RVUCDYJAC,B00001W0KA,5.0,1355875200
A2WF82910Z50CT,B00001WRHJ,4.0,1303689600
A15LON8ZV0GJXD,B00001WRHJ,4.0,1388016000
A1IOSSO7P46M0B,B00001WRHJ,4.0,1285632000
A3PQ8KCENIDZ7P,B00001WRHJ,4.0,1383523200
A3VZ1PO40JCGFV,B00001WRHJ,1.0,1379548800
A1S1IP62GI71D0,B00001WRHJ,4.0,1381104000
A18WUUFY45DOWA,B00004SR8W,5.0,1383955200
A319M5UYKNLK8B,B00004SR8W,3.0,1365897600
AD64M1IOZBT0N,B00004SR8W,5.0,1404259200
A1RBMSDM4N3M0J,B00004SR8W,5.0,1393200000
A2PB8V16TLP6IC,B00004SR8W,5.0,1278806400
AJU5WLLEHPZ3X,B00004SR8W,5.0,1277856000
A1EFMJQNZTZU9T,B00004SR8W,5.0,1319760000
A3FI4WZ8EQTRS5,B00004SR8W,5.0,1357430400
A2DYTAZJ28WWRH,B00004SR8W,5.0,1298937600
A3JX1D26WFEXOS,B00004SR8W,5.0,1299369600
A1T7PS2VAS1RTC,B00004SR8W,5.0,1394064000
A2GLR9H28HPTW6,B00004SR8W,3.0,1387843200
A3SC04DC5TLYSP,B00004SR8Z,3.0,1335139200
A240W3C2Z3WQCQ,B00004SR8Z,4.0,1323648000
A1WCJS4L2L1WQ,B00004SR8Z,4.0,1375574400
A37U7Y7IPIHBFB,B00004SR8Z,5.0,1243209600
A1X6ZPF88LTHGJ,B00004SR8Z,5.0,1350950400
A1UWE64CPO197G,B00004SR8Z,4.0,1345075200
A1DXE6GODEAXS2,B00004SR8Z,4.0,1393632000
A11EKRR0LDL893,B00004SR8Z,5.0,1386115200
A3J9UVDJ5OZSSY,B00004SR8Z,4.0,1336435200
A1YLFVE9IEMDMR,B00004SR8Z,5.0,1400889600
A38VYAG164NBSQ,B00004SR8Z,4.0,1383177600
AF46F8IQ6GZLW,B00004SR8Z,5.0,1388620800
