reviewerID,itemID,rating,time,drinkID
A1KLRMWW2FWPL4,0000031887,5.0,1297468800,1
A2G5TCU2WDFZ65,0000031887,5.0,1358553600,1
A1RLQXYNCMWRWN,0000031887,5.0,1357257600,1
A8U3FAMSJVHS5,0000031887,5.0,1398556800,1
A3GEOILWLK86XM,0000031887,5.0,1394841600,1
A27UF1MSF3DB2,0000031887,4.0,1396224000,1
A16GFPNVF4Y816,0000031887,5.0,1399075200,1
A2M2APVYIB2U6K,0000031887,5.0,1356220800,1
A1NJ71X3YPQNQ9,0000031887,4.0,1384041600,1
A3EERSWHAI6SO,0000031887,5.0,1349568000,1
AX1QE6IR7CHXM,0000031887,5.0,1388620800,1
A2A2WZYLU528RO,0000031887,5.0,1391040000,1
A391EXIT5TFP72,0000031887,5.0,1321056000,1
A34ATJR9KFIXL9,0000031887,5.0,1361664000,1
AJ6B83I4YJHYW,0000031887,5.0,1372636800,1
A26A4KKLAVTMCC,0000031887,3.0,1395273600,1
A1MXJVYXE2QU6H,0000031887,5.0,1367020800,1
A2XJ13PIXVJFJH,0000031887,1.0,1399852800,1
A287XY94U7JDM8,0000031887,5.0,1387843200,1
A1JR9KKF6UKUWW,0000031887,5.0,1359504000,1
A2SX7X8QGQVCJU,0000031887,5.0,1351036800,1
A2Q6UWR5PBHTJS,0000031887,5.0,1358553600,1
AJZPHJR944IBB,0000031887,4.0,1365552000,1
A2WNN1DQVL4LH5,0123456479,5.0,1383782400,2
A1ZPOCG2ST2CY3,0123456479,5.0,1390089600,2
A1WDJIFL2F4QJA,0123456479,5.0,1348444800,2
A3RB1JA72Z0TUN,0123456479,3.0,1387411200,2
A1JC50F14SLAEV,0123456479,3.0,1399852800,2
A8WD29DKN8ZC3,0123456479,4.0,1388102400,2
A1F7YU6O5RU432,1608299953,5.0,1365465600,3
A3INPLAFCMRI3I,1608299953,4.0,1322956800,3
A3NHUQ33CFH3VM,1608299953,4.0,1285027200,3
A253TILLU81VZK,1608299953,5.0,1308182400,3
A28QH3KX709FFQ,1608299953,1.0,1348185600,3
A1R377IPZOKLMM,1608299953,5.0,1284768000,3
A3U6J0DLLDEWM2,1608299953,5.0,1287446400,3
A1ZU55TM45Y2R8,1608299953,4.0,1282694400,3
A1NIGUK4M2ST8,1608299953,4.0,1305676800,3
AQY5XBYSENNZQ,1608299953,4.0,1305763200,3
A1GNYV0RA0EQSS,1608299953,5.0,1284163200,3
A1ZPOCG2ST2CY3,0123456479,5.0,1390089600,2
A1WDJIFL2F4QJA,0123456479,5.0,1348444800,2
